name,description,count
Human Agent Assistance,Questions related to difficulties in reaching or communicating with a human customer service representative.,4
Billing Inquiries,"Questions related to locating, accessing, or understanding bills and invoices from specific individuals or entities.",11
Payment Issues,"Questions related to difficulties with making payments, reporting payment problems, or seeking assistance with payment processes.",15
Customer Service Assistance,Questions related to seeking help or guidance on how to contact or communicate with customer service representatives.,3
Payment Options Inquiry,"Questions related to the types of payment methods accepted, such as credit cards, PayPal, or other payment services.",8
Newsletter Signup,"Questions related to signing up for the company's newsletter, including where and how to subscribe.",1
Withdrawal Fee Inquiries,"Questions related to understanding, locating, or clarifying fees associated with withdrawing funds from an account.",3
Customer Support Requests,Questions where customers express a desire to speak with a representative or seek direct assistance from a support team member.,8
Invoice Access Assistance,"Questions related to accessing, viewing, or retrieving specific invoices or billing documents.",1
Account Deletion Requests,"Questions related to the process of deleting or closing accounts, including specific account types such as platinum accounts.",3
Refund Policy Inquiries,"Questions related to the conditions and scenarios under which a customer can request a refund, including eligibility and process details.",13
Consumer Claims and Complaints,"Questions related to filing claims or complaints against the organization, including seeking assistance with the process and understanding consumer rights.",1
Customer Support Contact Information,"Questions related to obtaining contact information for customer support, including phone numbers, email addresses, or other means of communication.",2
Early Termination Penalties,Questions related to understanding the penalties or fees associated with terminating a service or contract before its agreed-upon end date.,2
Unsubscribe Requests,"Questions related to unsubscribing from newsletters, mailing lists, or other subscription services.",1
Signup Issues,"Questions related to problems or difficulties encountered during the signup process, including how to report or resolve these issues.",1
Billing Document Requests,Questions related to downloading or accessing billing statements or invoices from specific individuals or accounts.,6
Refund Requests,"Questions related to obtaining refunds for purchases, including issues with receiving money back and the refund process.",41
Account Upgrade Assistance,"Questions related to upgrading or changing account types, including steps to switch to a pro account or other premium services.",2
Newsletter Subscription Status,"Questions related to checking or verifying the status of a subscription to a newsletter, including how to access or view subscription details.",1
Account Cancellation Inquiries,"Questions related to the process of canceling various types of accounts, including steps required and any conditions that may apply.",3
Subscription Cancellation Requests,"Questions related to cancelling subscriptions, including newsletters, memberships, or other recurring services.",2
Customer Service Hours,"Questions related to the operating hours of customer service, including when customers can contact support for assistance.",3
Order Tracking,"Questions related to checking the status of an order, including delivery dates and tracking information.",14
Delivery Address Management,"Questions related to adding, updating, or changing delivery addresses for orders.",1
Cancellation Charges Inquiry,Questions related to understanding the fees or charges associated with canceling a service or subscription.,1
Live Agent Support Requests,Questions and requests from customers seeking assistance to connect with a live customer support agent for real-time help.,1
Account Modification Requests,"Questions related to changing or updating information on customer accounts, including account types such as platinum accounts.",4
Refund Status Inquiries,"Questions related to the status of refund requests, including whether a refund has been processed or when it will be completed.",5
Bill Download Assistance,"Questions related to downloading or accessing billing statements, invoices, or payment records.",5
Order Cancellation Requests,"Questions related to canceling orders, including inquiries about the process, eligibility, and consequences of canceling an order.",26
Order Editing Issues,"Questions related to difficulties or issues encountered when attempting to edit an existing order, such as changing order details, updating quantities, or modifying shipping information.",2
Reimbursement Policy Inquiries,"Questions related to understanding, checking, or clarifying the reimbursement policy, including eligibility, process, and conditions for reimbursement.",3
Delivery Address Issues,Questions related to problems or difficulties encountered when setting up or modifying delivery addresses for orders.,2
Invoice Assistance,"Questions related to downloading, accessing, or managing invoices and billing documents.",2
Account Opening Requests,"Questions related to opening different types of accounts, including inquiries about the process, requirements, and options available for account categories.",11
Account Data Editing,"Questions related to modifying or updating information on a specific account category, such as changing account details, correcting errors, or updating preferences.",2
Agent Assistance Requests,Questions or requests where customers explicitly ask to speak with a human representative or agent for further assistance.,2
Product Review Assistance,"Questions related to providing feedback, opinions, or reviews for products, including how to submit a review or where to leave feedback.",3
Withdrawal Charges Inquiry,Questions related to understanding the fees or charges associated with withdrawing funds from an account.,2
Reimbursement Requests,"Questions related to the conditions and processes for requesting reimbursements, including eligibility and required documentation.",2
Order Status Inquiries,"Questions related to checking the current status of a customer's order, including tracking and delivery updates.",14
Account Closure Procedures,Questions related to the steps and requirements for closing or terminating an account in various categories.,3
Signup Error Reports,Questions and reports related to issues or errors encountered during the signup or registration process.,1
Cancellation Fee Inquiries,Questions related to understanding the fees associated with canceling a service or subscription.,2
Account Removal Issues,"Questions related to problems or issues encountered during the process of removing or closing an account, including difficulties with account deletion or cancellation.",1
Billing Assistance,"Questions related to locating, understanding, or resolving issues with specific bills or invoices.",9
Account Creation Assistance,"Questions related to the process of creating new accounts, including different account types such as platinum, gold, or basic accounts.",10
Billing Download Instructions,Questions related to downloading or accessing billing statements or invoices from a specific service or provider.,2
Shipping Address Issues,"Questions related to problems or inquiries about adding, modifying, or submitting shipping addresses, including primary and secondary addresses.",3
Address Modification Issues,Questions related to problems or errors encountered when attempting to modify or update address information in the system.,2
Invoice Download Assistance,"Questions related to downloading, accessing, or retrieving invoices or billing statements.",3
Account Removal Procedures,Questions related to the steps or processes required to remove or delete a standard account.,1
Customer Support Contact,Questions related to how customers can reach out to or communicate with a support representative or customer service.,1
Customer Service Availability,"Questions related to the hours and availability of customer service support, including when and how customers can get in touch with service representatives.",5
Shipping Options Inquiry,"Questions related to the different shipping methods, delivery times, and associated costs offered by the company.",3
Consumer Complaint Filing Assistance,"Questions related to seeking help or guidance on how to file a consumer complaint, including the process, necessary steps, and any related documentation or support needed.",1
Operator Assistance Requests,Questions or requests where customers express dissatisfaction with automated help and seek to speak directly with a human operator or customer service representative.,3
Delivery Address Updates,"Questions related to updating, changing, or modifying the delivery address for an order or account.",2
Account Creation for Family Members,"Questions related to creating accounts for family members, such as spouses or children, specifying the type of account to be created.",6
Order Placement Inquiries,Questions related to the possibility and process of placing orders from specific locations or cities.,8
Newsletter Subscription Assistance,"Questions related to subscribing to, receiving, or managing the newsletter, including issues with sign-up or delivery.",2
Registration Error Reporting,Questions related to reporting errors or issues encountered during the registration process.,1
Shopping Assistance,Questions related to seeking help or guidance in purchasing multiple items or products.,5
Customer Complaints,"Questions and requests related to filing complaints, reporting issues, or expressing dissatisfaction with products or services.",4
